min_support=0.01
n_itemsets=261
time_sec=0.064106
набор	поддержка
{минеральная вода, молоко, яйца}	0.013065
{макароны, мед}	0.012798
{травы и перец, яйца}	0.012532
{газированная вода}	0.012398
{зеленый чай, рис}	0.012398
{говяжий фарш, рис}	0.012265
{замороженные овощи, макароны, минеральная вода}	0.012265
{зеленый чай, помидоры}	0.012265
{помидоры, яйца}	0.012265
{гамбургер, говяжий фарш}	0.011998
{дыня}	0.011998
{зеленый чай, печенье}	0.011998
{картофель-фри, помидоры}	0.011998
{оливковое масло, яйца}	0.011998
{темный шоколад}	0.011998
{блинчики, торт}	0.011865
{зеленый чай, индейка}	0.011865
{зеленый чай, курица}	0.011865
{блинчики, макароны, минеральная вода}	0.011732
{говяжий фарш, помидоры}	0.011732
{растительное масло, яйца}	0.011732
{авокадо, минеральная вода}	0.011598
{шампанское, шоколад}	0.011598
{батат}	0.011465
{гамбургер, торт}	0.011465
{говяжий фарш, креветки}	0.011465
{дезодорант}	0.011465
{зеленый чай, креветки}	0.011465
{молоко, растительное масло}	0.011465
{говяжий фарш, тертый сыр}	0.011332
{замороженные овощи, оливковое масло}	0.011332
{индейка, молоко}	0.011332
{индейка, шоколад}	0.011332
{замороженный смузи, зеленый чай}	0.011199
{креветки, помидоры}	0.011199
{макароны, молоко, шоколад}	0.011199
{говяжий фарш, минеральная вода, молоко}	0.011065
{замороженные овощи, минеральная вода, молоко}	0.011065
{замороженные овощи, рис}	0.011065
{замороженный смузи, яйца}	0.011065
{картофель-фри, курица}	0.011065
{эскалоп, яйца}	0.011065
{говяжий фарш, минеральная вода, шоколад}	0.010932
{журнал}	0.010932
{красное вино, минеральная вода}	0.010932
{макароны, шоколад, яйца}	0.010932
{тертый сыр, шоколад}	0.010932
{блинчики, оливковое масло}	0.010799
{соус для барбекю}	0.010799
{гамбургер, индейка}	0.010665
{индейка, картофель-фри}	0.010665
{лосось, шоколад}	0.010665
{макароны, минеральная вода, оливковое масло}	0.010665
{блинчики, гамбургер}	0.010532
{блинчики, креветки}	0.010532
{гамбургер, замороженные овощи}	0.010532
{печенье, яйца}	0.010532
{сидр}	0.010532
{картофель-фри, макароны, минеральная вода}	0.010399
{картофель-фри, тертый сыр}	0.010399
{красное вино, макароны}	0.010399
{макароны, перец}	0.010399
{обезжиренное молоко}	0.010399
{печенье, шоколад}	0.010399
{гамбургер, рис}	0.010265
{замороженные овощи, торт}	0.010265
{минеральная вода, хлопья}	0.010265
{говяжий фарш, минеральная вода, яйца}	0.010132
{замороженные овощи, низкокалорийный йогурт}	0.010132
{суп, шоколад}	0.010132
