min_support=0.05
n_itemsets=28
time_sec=0.012332
набор	поддержка
{минеральная вода}	0.238368
{макароны}	0.187975
{яйца}	0.179709
{картофель-фри}	0.170911
{шоколад}	0.163845
{зеленый чай}	0.132116
{молоко}	0.129583
{говяжий фарш}	0.098254
{замороженные овощи}	0.095321
{блинчики}	0.095054
{гамбургер}	0.087188
{торт}	0.081056
{печенье}	0.080389
{эскалоп}	0.079323
{низкокалорийный йогурт}	0.076523
{рис}	0.075990
{креветки}	0.071457
{помидоры}	0.068391
{оливковое масло}	0.065858
{замороженный смузи}	0.063325
{индейка}	0.062525
{макароны, минеральная вода}	0.061192
{курица}	0.059992
{минеральная вода, шоколад}	0.052660
{тертый сыр}	0.052393
{растительное масло}	0.051060
{минеральная вода, яйца}	0.050927
{суп}	0.050527
